,id,quoteId,elementId,projectId,elementName,text,functionality,concept,directives,purpose,quality,control,structure,patterns,codeExamples,environment,reference,nonInformation,knCount,length,Three class
13,39993,261690,265386,7,System.Windows.Forms.CloseReason,"Additional online Documentation: Syntax: public enum CloseReason Summary: Specifies the reason that a form was closed. Remarks: The FormClosing and FormClosed events are raised when a Form is closed, either through user action or programmatically. Handlers for these events receive parameters of type FormClosingEventArgs and FormClosedEventArgs, respectively. Both of these event argument classes use the CloseReason enumeration.",1,0,0,0,0,0,1,0,0,0,0,0,2,57,clean
14,32286,440253,443997,8,"public void setPixel(int x, int y, float[] fArray)","Sets a pixel in the DataBuffer using a float array of samples for input. An ArrayIndexOutOfBoundsException may be thrown if the coordinates are not in bounds. However, explicit bounds checking is not guaranteed.  Parameters: x - The X coordinate of the pixel location. y - The Y coordinate of the pixel location. fArray - The input samples in a float array. Throws: NullPointerException - if fArray is null. ArrayIndexOutOfBoundsException - if the coordinates are not in bounds, or if fArray is too small to hold the input.",1,0,0,0,0,0,0,0,0,0,0,1,2,82,mixed
15,38576,229826,232797,7,System.Drawing.Drawing2D.PathGradientBrush,"Additional online Documentation: Syntax: public sealed class PathGradientBrush : Brush Summary: Encapsulates a Brush object that fills the interior of a GraphicsPath object with a gradient. This class cannot be inherited. Remarks: The color gradient is a smooth shading of colors from the center point of the path to the outside boundary edge of the path. Blend factors, positions, and style affect where the gradient starts and ends, and how fast it changes shade. Path gradient brushes do not obey the SmoothingMode property of the Graphics object used to do the drawing. Areas filled using a PathGradientBrush object are rendered the same way (aliased) regardless of the smoothing mode. Example: The following code example shows how to create a PathGradientBrush. This example is designed for use with Windows Forms, and it requires the PaintEventArgs e, which is a parameter of PaintEventHandler. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,1,0,0,0,0,0,0,1,0,0,0,3,165,clean
16,39427,256272,259952,7,System.Web.Configuration.HttpCapabilitiesBase.SupportsFontColor,"Additional online Documentation: Syntax: public virtual bool SupportsFontColor { get; } Property Value Type: System.Boolean true if the browser supports the color attribute of HTML <font> elements; otherwise, false. The default is true. Summary: Gets a value indicating whether the browser supports the color attribute of HTML <font> elements. Example: The following code example shows how to determine whether the browser supports the color attribute of HTML <font> elements.",1,0,0,0,0,0,1,1,1,0,0,1,5,68,mixed
17,32880,480422,484166,8,public interface SessionBean   ,The SessionBean interface defines methods that the EJB container uses to  notify a session bean instance of the instance's life cycle events.  As of EJB 3.0 it is no longer required that a session bean class implement  this interface.  Since:     EJB 1.0,0,0,1,1,0,0,0,0,0,1,0,0,3,41,clean
18,39075,243299,246373,7,System.ServiceModel.Configuration.WSHttpBindingBaseElement.TextEncoding,"Additional online Documentation: Syntax: [ConfigurationPropertyAttribute(#textEncoding#, DefaultValue = #utf-8#)] public Encoding TextEncoding { get; set; } Property Value Type: System.Text.Encoding An Encoding value that specifies the character set encoding to be used for emitting messages on the binding. The default is UTF8Encoding. Summary: Gets or sets the character set encoding to be used for emitting messages on the binding.",1,0,0,0,0,0,0,0,0,0,0,1,2,59,mixed
19,37818,210355,213287,7,System.ComponentModel.DataAnnotations.DataTypeAttribute,"Additional online Documentation: Syntax: [AttributeUsageAttribute(AttributeTargets.Method|AttributeTargets.Property|AttributeTargets.Field|AttributeTargets.Parameter, AllowMultiple = false)] public class DataTypeAttribute : ValidationAttribute Summary: Specifies the name of an additional type to associate with a data field. Remarks: The DataTypeAttribute attribute enables you to mark fields by using a type that is more specific than the database intrinsic type. The type name is selected from the DataType enumeration type. For example, a string data field that contains e-mail addresses can be specified as the EmailAddress type. This information is then accessed by the field templates to modify how the data field is processed. You use the DataTypeAttribute attribute for the following reasons: To provide additional type information for a data field. You do this by applying the DataTypeAttribute attribute to a data field in the data model and by specifying the additional type name from the DataType enumeration. The field template that processes the data field can access this additional metadata type information to determine how to process the field. For example, the text field template can generate hyperlinks for e-mail addresses whose intrinsic type is String. To associate a custom field template with a data field. The specified custom field template will then be used to process the data field. This is an alternative to using the UIHintAttribute attribute. When you apply the DataTypeAttribute attribute to a data field you must do the following: Follow the attribute usage rules. Implement the metadata class that contains the data fields to which you want to apply the attribute. Issue validation errors as appropriate. For more information, see ASP.NET Dynamic Data Guidelines. See a run-time code example of this feature: Run. Example: The following example uses the DataTypeAttribute attribute to customize the display of the EmailAddress data field. The e-mail addresses are shown as hyperlinks instead of as simple text, which is what Dynamic Data would infer from the intrinsic data type. The example code is in three parts, and it performs the following steps: It implements a metadata partial class and the associated metadata class. In the associated metadata class, it applies the DataTypeAttribute attribute to the EmailAddress data field by specifying the EmailAddress enumerated value. This indicates to the Text.ascx field template that it should customize the display of e-mail addresses. It modifies the Text.ascx field template to customize the display of the EmailAddress data fields.    <%@ Control Language=## CodeFile=#Text.ascx.cs# Inherits=#TextField# %> <!-- Removed, evaluated in the code behind. <%\# FieldValueString %> -->    To compile and run the example code, you need the following: Visual Studio 2008 Service Pack 1 or Visual Developer 2008 Express Edition Service Pack 1. The AdventureWorksLT sample database. For information about how to download and install the SQL Server sample database, see Microsoft SQL Server Product Samples: Database on the CodePlex site. Make sure that you install the correct version of the sample database for the version of SQL Server that you are running (SQL Server 2005 or SQL Server 2008). A data-driven Web site. This enables you to create a data context for the database and to create the class that contains the data field to customize. For more information, see Walkthrough: Creating a New Dynamic Data Web Site using Scaffolding. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,1,1,1,0,0,1,1,1,1,1,0,9,559,clean
20,32239,439189,442933,8,public abstract class Rectangle2D   ,"The Rectangle2D class describes a rectangle defined by a location (x,y)  and dimension (w x h).  This class is only the abstract superclass for all objects that store a 2D  rectangle. The actual storage representation of the coordinates is left to  the subclass.  Since:     1.2",1,0,0,0,0,0,1,0,0,0,0,0,2,46,clean
21,32951,481400,485144,8,public void setContentType(java.lang.String contentType),Set the MIME content-type for this resource. The default implementation performs no validation on the argument.  Parameters: contentType - the MIME content-type for this resource. The default implementation must accept null as a parameter.,1,0,1,0,0,0,0,0,0,0,0,1,3,35,mixed
22,32846,452753,456497,8,"public MimeType(String primary, String sub) throws MimeTypeParseException",Constructor that builds a MimeType with the given primary and sub type but has an empty parameter list.  Parameters: primary - the primary MIME type sub - the MIME sub-type Throws: MimeTypeParseException - if the primary type or subtype is not a valid token,1,1,0,0,0,0,0,0,0,0,0,0,2,42,clean
23,38426,223438,226391,7,"System.Web.UI.Design.IHtmlControlDesignerBehavior.SetStyleAttribute(System.String,System.Boolean,System.Object,System.Boolean)","Additional online Documentation: Syntax: void SetStyleAttribute( string attribute, bool designTimeOnly, Object value, bool ignoreCase ) Parameters attributeType: System.String The attribute to set.  designTimeOnlyType: System.Boolean true if the attribute is only active at design-time; otherwise, false.  valueType: System.Object The object to set the attribute on.  ignoreCaseType: System.Boolean true if the attribute syntax is case-insensitive; otherwise, false. Summary: Sets the specified style attribute to the specified object. Remarks: Note The SetStyleAttribute method is obsolete. Use the AddDesignTimeCssAttributes method on the ContainerControlDesigner class for equivalent control designer functionality.",1,0,1,0,0,0,1,0,0,0,0,1,4,90,mixed
24,32327,440808,444552,8,public abstract class BeanContextEvent   ,"BeanContextEvent is the abstract root event class for all events emitted  from, and pertaining to the semantics of, a BeanContext. This class  introduces a mechanism to allow the propagation of BeanContextEvent  subclasses through a hierarchy of BeanContexts. The setPropagatedFrom()  and getPropagatedFrom() methods allow a BeanContext to identify itself as  the source of a propagated event.  Since:     1.2 See Also:     BeanContext, Serialized Form",1,0,0,1,0,0,1,0,0,0,1,0,4,61,clean
25,32326,440861,444605,8,protected class BeanContextServicesSupport.BCSSChild   ,See Also:     Serialized Form,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
26,32226,438430,442174,8,public static final Integer UNDERLINE_LOW_DASHED, Single pixel dashed low underline.  Since: 1.3 See Also: INPUT_METHOD_UNDERLINE ,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
27,39528,257492,261183,7,System.Web.Management.WebBaseEvent.EventCode,"Additional online Documentation: Syntax: public int EventCode { get; } Property Value Type: System.Int32 One of the WebEventCodes values. Summary: Gets the code value associated with the event. Remarks: More information about the event is contained in the related Message value. Note If you inherit from the WebBaseEvent class, the event code you specify for your custom event must be greater than WebExtendedBase. Example: The following code example shows how to obtain the event code.",1,0,1,0,0,0,1,0,1,0,0,1,5,74,mixed
28,37895,213238,216175,7,System.Security.Cryptography.SignatureVerificationResult,Additional online Documentation: Summary: Specifies most of the result codes for signature verification.,0,0,0,1,0,0,0,0,0,0,0,0,1,13,clean
29,32469,444089,447833,8,public abstract class ContentHandler   ,"The abstract class ContentHandler is the superclass of all classes that  read an Object from a URLConnection.  An application does not generally call the getContent method in this class  directly. Instead, an application calls the getContent method in class URL  or in URLConnection. The application's content handler factory (an instance  of a class that implements the interface ContentHandlerFactory set up by a  call to setContentHandler) is called with a String giving the MIME type of  the object being received on the socket. The factory returns an instance of  a subclass of ContentHandler, and its getContent method is called to create  the object.  If no content handler could be found, URLConnection will look for a content  handler in a user-defineable set of places. By default it looks in  sun.net.www.content, but users can define a vertical-bar delimited set of  class prefixes to search through in addition by defining the  java.content.handler.pkgs property. The class name must be of the form:   {package-prefix}.{major}.{minor} e.g. YoyoDyne.experimental.text.plain   If the loading of the content handler class would be performed by a  classloader that is outside of the delegation chain of the caller, the JVM  will need the RuntimePermission getClassLoader.  Since:     JDK1.0 See Also:     getContent(java.net.URLConnection), ContentHandlerFactory,      URL.getContent(), URLConnection, URLConnection.getContent(),      URLConnection.setContentHandlerFactory(java.net.ContentHandlerFactory)",1,0,0,0,0,0,1,1,1,0,0,0,4,226,clean
30,38176,214816,217756,7,System.Data.Objects.ObjectContext.ObjectStateManager,Additional online Documentation: Syntax: public ObjectStateManager ObjectStateManager { get; } Property Value Type: System.Data.Objects.ObjectStateManager The ObjectStateManager used by this ObjectContext. Summary: Gets the object state manager used by the object context to track object changes. Example: These examples are based on the Adventure Works Sales Model. This example gets the ObjectStateManager from the ObjectContext and uses the state manager to access an object in the context.  This example uses the TryGetObjectStateEntry method on the returned ObjectStateManager to get an object based on its entity key.,0,0,0,0,0,0,0,0,1,0,1,0,2,86,clean
31,39045,239123,242191,7,System.ServiceModel.AuditLogLocation,"Additional online Documentation: Syntax: public enum AuditLogLocation Summary: Specifies the location where security-related event logs are written. Remarks: When creating a application that requires authentication and/or authorization of callers, you can specify that events related to security be recorded for either success, failure, or both. The location of the log is determined by this enumeration. The level of the audit log is specified by setting the MessageAuthenticationAuditLevel or the ServiceAuthorizationAuditLevel property of the ServiceSecurityAuditBehavior class to one of the AuditLevel values. You can also specify audit behavior using the serviceSecurityAudit element binding. Important If the AuditLogLocation property is set to Security and Audit Object Access is not set in the Local Security Policy, audit events will not be written to the Security log. No failure is returned, but audit entries will not be written to the Security log. In addition, the calling thread must have SeAuditPrivilege to be able to write to the Security log. Default Dependent on Operating System When setting the property to the Default value, the operating system determines which log will actually be written to. For more information, see Auditing Security Events. Example: The following example sets the AuditLogLocation property to one of the AuditLogLocation values.",1,0,1,1,0,0,0,1,1,0,1,0,6,202,clean
32,33558,458827,462571,8,Deprecated.  Deprecated.  as of JDK version 1.4 -- Replaced by ,@Deprecated public abstract class Policy      extends Object   This is an abstract class for representing the system policy for  Subject-based authorization. A subclass implementation of this class  provides a means to specify a Subject-based access contr,1,0,1,1,0,0,1,0,1,1,0,0,6,555,clean
33,33644,489781,493525,8,public java.lang.String getMethodSignature(),Returns the expected method signature of this deferred method attribute.  This method returns null if isDeferredMethod() returns false.  Returns: the method signature Since: JSP 2.1,1,0,0,0,0,0,0,0,0,0,0,1,2,24,mixed
34,38738,232674,235650,7,System.IdentityModel.Tokens.X509IssuerSerialKeyIdentifierClause.Matches(System.Security.Cryptography.X509Certificates.X509Certificate2),Additional online Documentation: Summary: Returns a value that indicates whether the key identifier for this instance matches the specified object.,1,0,0,0,0,0,0,1,0,0,0,0,2,20,clean
35,40199,259343,263035,7,System.Windows.Forms.DataVisualization.Charting.ChartColorPalette.Pastel,Palette utilizes pastel colors.,1,0,0,0,0,0,0,0,0,0,0,1,2,4,mixed
36,38883,235332,238318,7,System.Runtime.Caching.CacheEntryChangeMonitor,"Additional online Documentation: Syntax: public abstract class CacheEntryChangeMonitor : ChangeMonitor Summary: Provides a base class that represents a ChangeMonitor type that can be implemented in order to monitor changes to cache entries. Remarks: The CacheEntryChangeMonitor class provides abstract, read-only properties that can be implemented for monitoring cache entries. This class is used when a cache implementation has to monitor changes to entries in its own cache. For caches that are ObjectCache cache implementations, an instance of the CacheEntryChangeMonitor type is returned by the CreateCacheEntryChangeMonitor(IEnumerable(Of String), String) method. Notes to Inheritors For information about the inheritance contract that must be followed, see the information for inheritors in the ChangeMonitor class overview. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,0,0,0,1,1,0,0,0,0,2,137,clean
37,38802,233473,236453,7,System.Messaging.CryptographicProviderType,Additional online Documentation: Syntax: public enum CryptographicProviderType Summary: Specifies the cryptographic service providers available for validating digital signatures. Remarks: A cryptographic service provider contains implementations of cryptographic standards and algorithms. Applications can require the authentication provider name or authentication provider type of a cryptographic service provider to validate the digital signatures.,1,1,0,0,0,0,0,0,0,0,0,0,2,51,clean
38,38571,229724,232695,7,System.Drawing.Drawing2D.InterpolationMode,Additional online Documentation: Syntax: public enum InterpolationMode Summary: The InterpolationMode enumeration specifies the algorithm that is used when images are scaled or rotated.,1,0,0,0,0,0,0,0,0,0,1,0,2,23,clean
39,34654,478922,482666,8,public interface ORBInitializerOperations ,"Facilitates interceptor registration and ORB initialization.  Interceptors are intended to be a means by which ORB services gain access  to ORB processing, effectively becoming part of the ORB. Since Interceptors  are part of the ORB, when ORB.init returns an ORB, the Interceptors shall  have been registered. Interceptors cannot be registered on an ORB after it  has been returned by a call to ORB.init.  An Interceptor is registered by registering an associated ORBInitializer  object which implements the ORBInitializer interface. When an ORB is  initializing, it shall call each registered ORBInitializer, passing it an  ORBInitInfo object which is used to register its Interceptor.  Registering ORB Initializers in Java  ORBInitializers are registered via Java ORB properties.  The property names are of the form:      org.omg.PortableInterceptor.ORBInitializerClass.<Service>  where <Service> is the string name of a class which implements      org.omg.PortableInterceptor.ORBInitializer  To avoid name collisions, the reverse DNS name convention should be used.  For example, if company X has three initializers, it could define the  following properties:     * org.omg.PortableInterceptor.ORBInitializerClass.com.x.Init1     * org.omg.PortableInterceptor.ORBInitializerClass.com.x.Init2     * org.omg.PortableInterceptor.ORBInitializerClass.com.x.Init3 During ORB.init, these ORB properties which begin with  org.omg.PortableInterceptor.ORBInitializerClass shall be collected, the  <Service> portion of each property shall be extracted, an object shall be  instantiated with the <Service> string as its class name, and the pre_init  and post_init methods shall be called on that object. If there are any  exceptions, the ORB shall ignore them and proceed.  Example  A client-side logging service written by company X, for example, may have  the following ORBInitializer implementation:   package com.x.logging; import org.omg.PortableInterceptor.Interceptor; import org.omg.PortableInterceptor.ORBInitializer; import org.omg.PortableInterceptor.ORBInitInfo; public class LoggingService implements ORBInitializer { void pre_init( ORBInitInfo info ) { // Instantiate the Logging Service s Interceptor. Interceptor interceptor = new LoggingInterceptor(); // Register the Logging Service s Interceptor. info.add_client_request_interceptor( interceptor ); } void post_init( ORBInitInfo info ) { // This service does not need two init points. } }   To run a program called MyApp using this logging service, the user could  type:      java     -Dorg.omg.PortableInterceptor.ORBInitializerClass.com.x.Logging.LoggingService     MyApp  Notes about Registering Interceptors  Request Interceptors are registered on a per-ORB basis.  To achieve virtual per-object Interceptors, query the policies on the  target from within the interception points to determine whether they should  do any work.  To achieve virtual per-POA Interceptors, instantiate each POA with a  different ORB. While Interceptors may be ordered administratively, there is  no concept of order with respect to the registration of Interceptors.  Request Interceptors are concerned with service contexts. Service contexts  have no order, so there is no purpose for request Interceptors to have an  order. IOR Interceptors are concerned with tagged components. Tagged  components also have no order, so there is no purpose for IOR Interceptors  to have an order.  Registration code should avoid using the ORB (i.e., calling ORB.init with  the provided orb_id). Since registration occurs during ORB initialization,  results of invocations on this ORB while it is in this state are undefined.  See Also:     ORBInitInfo",1,1,1,1,0,0,1,0,1,0,0,0,6,518,clean
40,33785,461671,465415,8,public void focusGained(FocusEvent event),Description copied from interface: FocusListener Invoked when a component gains the keyboard focus.  Specified by: focusGained in interface FocusListener,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
41,40013,265259,268958,7,System.Windows.Forms.Form.Activated,"Additional online Documentation: Syntax: public event EventHandler Activated Summary: Occurs when the form is activated in code or by the user. Remarks: Note When the application is active and has multiple forms, the active form is the form with the input focus. A form that is not visible cannot be the active form. The simplest way to activate a visible form is to click it or use an appropriate keyboard combination. To activate a form at run time using code, call the Activate method. You can use this event for tasks such as updating the contents of the form based on changes made to the form's data when the form was not activated. For more information about handling events, see Consuming Events. Example: The following code example demonstrates how to use the SetDesktopLocation, Closed, Load, Activated, and Activate members. To run the example, paste the following code in a form called Form1 containing a Button called Button1 and two Label controls called Label1 and Label2.",0,0,0,0,0,0,0,1,1,0,1,0,3,166,clean
42,33367,456379,460123,8,"protected Hashtable<?,?> environment"," Contains the environment relevant for the Context or DirContext method that cannot proceed.  This field is initialized to null. It should not be manipulated directly: it should be accessed and updated using getEnvironment() and setEnvironment().  See Also: getEnvironment(), setEnvironment(java.util.Hashtable) ",1,0,1,0,0,0,0,0,0,0,0,0,2,42,clean
43,39175,243933,247011,7,"System.ServiceModel.Description.ServiceMetadataContractBehavior.System#ServiceModel#Description#IContractBehavior#ApplyDispatchBehavior(System.ServiceModel.Description.ContractDescription,System.ServiceModel.Description.ServiceEndpoint,System.ServiceModel.Dispatcher.DispatchRuntime)","Additional online Documentation: Syntax: void IContractBehavior.ApplyDispatchBehavior( ContractDescription description, ServiceEndpoint endpoint, DispatchRuntime dispatch ) Parameters descriptionType: System.ServiceModel.Description.ContractDescription The contract description to be modified. endpointType: System.ServiceModel.Description.ServiceEndpoint The endpoint that exposes the contract. dispatchType: System.ServiceModel.Dispatcher.DispatchRuntime The dispatch runtime that controls service execution. Implements IContractBehavior.ApplyDispatchBehavior(ContractDescription, ServiceEndpoint, DispatchRuntime) Summary: Implements a modification of the service runtime across a contract.",0,0,0,0,0,0,0,0,0,0,0,0,0,65,
44,39804,250828,254497,7,System.Web.UI.MobileControls.MobileListItemType.FooterItem,"Represents a footer for a list. This API is obsolete. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.",1,0,1,0,0,0,0,0,0,0,1,0,3,28,clean
45,34714,479793,483537,8,public interface LSOutput ,"This interface represents an output destination for data.  This interface allows an application to encapsulate information about an  output destination in a single object, which may include a URI, a byte  stream (possibly with a specified encoding), a base URI, and/or a character  stream.  The exact definitions of a byte stream and a character stream are binding  dependent.  The application is expected to provide objects that implement this  interface whenever such objects are needed. The application can either  provide its own objects that implement this interface, or it can use the  generic factory method DOMImplementationLS.createLSOutput() to create  objects that implement this interface.  The LSSerializer will use the LSOutput object to determine where to  serialize the output to. The LSSerializer will look at the different  outputs specified in the LSOutput in the following order to know which one  to output to, the first one that is not null and not an empty string will  be used:     1. LSOutput.characterStream    2. LSOutput.byteStream    3. LSOutput.systemId  LSOutput objects belong to the application. The DOM implementation will  never modify them (though it may make copies and modify the copies, if  necessary).  See also the Document Object Model (DOM) Level 3 Load and Save  Specification.",1,0,1,1,1,1,1,1,0,0,0,0,7,199,clean
46,38401,222468,225421,7,System.ComponentModel.Design.MenuCommandService.GlobalInvoke(System.ComponentModel.Design.CommandID),Additional online Documentation: Summary: Invokes a command on the local form or in the global environment.,1,0,0,0,0,1,0,0,0,0,0,1,3,16,mixed
47,39949,264828,268527,7,System.Windows.Forms.DateBoldEventArgs,Additional online Documentation: Syntax: public class DateBoldEventArgs : EventArgs Summary: Provides data for events that are internal to the MonthCalendar control. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.,1,0,0,0,0,0,1,0,0,0,0,0,2,45,clean
48,32893,480244,483988,8,public boolean isDone(),This method should not be called. See Class-level comments.  Specified by: isDone in interface java.util.concurrent.Future<V>,0,0,1,0,0,0,0,0,0,0,0,0,1,20,clean
